,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.3
9,$v4,5.6
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,1800
13,$v2,26
14,$r1,0.3755
15,,
16,Formelfrage,Wasserkocher d)
17,$v1,1800
18,$v2,48
19,$r1,37.5
20,,
21,Formelfrage,Wasserkocher e)
22,$v2,29
23,$v1,400
24,$v4,433.7
25,,
26,Formelfrage,Wasserkocher f)
27,$v1,1000
28,$v3,50
29,$v4,314.5
30,,
31,Formelfrage,Wasserkocher g)
32,$v3,50
33,$v1,600
34,$v4,596.9
35,,
36,Formelfrage,Wasserkocher h)
37,$v1,81
38,$v2,1.74
39,$r1,95.34
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
