,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.5
9,$v4,5.6
10,$r1,400
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,600
14,$v2,58
15,$r1,5.2
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,28
20,$r1,16.41
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,57
24,$v1,900
25,$v4,474.2
26,$r1,3.606
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,26
31,$v4,169.1
32,$r1,518.44
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,28
36,$v1,2000
37,$v4,135.7
38,$r1,1.38
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,141.6
42,$v2,1.29
43,$r1,90.11
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
