,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,6
10,$r1,0.56
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,30
15,$r1,0.473
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,500
19,$v2,44
20,$r1,11.363
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,24
24,$v1,900
25,$v4,499.8
26,$r1,901.152
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1800
30,$v3,52
31,$v4,105
32,$r1,1812.876
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,48
36,$v1,1100
37,$v4,290.5
38,$r1,0.007931
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,89
42,$v2,1.07
43,$r1,91.68
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
