,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.6
9,$v4,4.7
10,$r1,1
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,54
15,$r1,2.65
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,28
20,$r1,39.39
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,30
24,$v1,600
25,$v4,360.6
26,$r1,24.96
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1700
30,$v3,46
31,$v4,434
32,$r1,4875.58
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1000
37,$v4,581.1
38,$r1,1
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,90.5
42,$v2,0.62
43,$r1,0.15
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
