,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,5.3
10,$r1,99.62
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,800
14,$v2,34
15,$r1,1.445
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,26
20,$r1,30.77
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,56
24,$v1,500
25,$v4,220.9
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,700
29,$v3,28
30,$v4,344.3
31,$r1,700.84
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,56
35,$v1,1400
36,$v4,495.8
37,$r1,1406.33
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,95.1
41,$v2,1.53
42,$r1,0.76
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
