,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.5
9,$v4,5.8
10,$r1,414
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1100
14,$v2,24
15,$r1,0.523
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1800
19,$v2,52
20,$r1,34.61
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,35
24,$v1,700
25,$v4,465.6
26,$r1,345
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1000
30,$v3,50
31,$v4,153.8
32,$r1,594
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,48
36,$v1,1900
37,$v4,373.3
38,$r1,1.594
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,113.1
42,$v2,1.92
43,$r1,5
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
