,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.6
9,$v4,5.1
10,$r1,303.57
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,54
15,$r1,1.94
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1100
19,$v2,38
20,$r1,28.94
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,31
24,$v1,1000
25,$v4,165.9
26,$r1,552.56
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1100
30,$v3,30
31,$v4,187.5
32,$r1,1100
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,60
36,$v1,700
37,$v4,136.2
38,$r1,13.2
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,53.5
42,$v2,1.2
43,$r1,4.46
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
