,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.1
9,$v4,8
10,$r1,247.27
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,600
14,$v2,46
15,$r1,3.53
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,28
20,$r1,21.43
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,24
24,$v1,700
25,$v4,275
26,$r1,
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1900
30,$v3,54
31,$v4,318.3
32,$r1,
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,38
36,$v1,700
37,$v4,449.8
38,$r1,
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,106.8
42,$v2,1.56
43,$r1,14.61
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
