,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.2
9,$v4,5.1
10,$r1,42
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1000
14,$v2,56
15,$r1,42
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1500
19,$v2,30
20,$r1,42
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,58
24,$v1,700
25,$v4,313.3
26,$r1,42
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1300
30,$v3,26
31,$v4,328
32,$r1,42
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,44
36,$v1,1400
37,$v4,149.2
38,$r1,42
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,66.5
42,$v2,1.08
43,$r1,42
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,0
52,wird größer,0
53,bleibt gleich,1
54,,
