,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.6
9,$v4,7.4
10,,
11,Formelfrage,Wasserkocher c)
12,$v1,500
13,$v2,42
14,$r1,3.528
15,,
16,Formelfrage,Wasserkocher d)
17,$v1,1900
18,$v2,60
19,$r1,31.66
20,,
21,Formelfrage,Wasserkocher e)
22,$v2,41
23,$v1,1200
24,$v4,237.9
25,,
26,Formelfrage,Wasserkocher f)
27,$v1,1900
28,$v3,48
29,$v4,333.4
30,,
31,Formelfrage,Wasserkocher g)
32,$v3,58
33,$v1,1600
34,$v4,340.4
35,,
36,Formelfrage,Wasserkocher h)
37,$v1,121.8
38,$v2,0.81
39,$r1,84.96
40,,
41,Single Choice,Wasserkocher i)
42,bleibt gleich,0
43,wird größer,0
44,verringert sich,1
45,,
46,Single Choice,Wasserkocher j)
47,verringert sich,1
48,wird größer,0
49,bleibt gleich,0
50,,
