,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.5
9,$v4,7
10,$r1,166.6
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1700
14,$v2,32
15,$r1,0.6
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1000
19,$v2,46
20,$r1,21.74
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,28
24,$v1,1100
25,$v4,235.1
26,$r1,0.213
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,900
30,$v3,26
31,$v4,379.7
32,$r1,68.47
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,24
36,$v1,1700
37,$v4,444.2
38,$r1,3.82
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,50.4
42,$v2,1.31
43,$r1,3.84
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
