,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,2
9,$v4,5.1
10,,
11,Formelfrage,Wasserkocher c)
12,,
13,Formelfrage,Wasserkocher d)
14,,
15,Formelfrage,Wasserkocher e)
16,$v2,33
17,$v1,800
18,$v4,225.9
19,,
20,Formelfrage,Wasserkocher f)
21,$v1,700
22,$v3,54
23,$v4,115.3
24,,
25,Formelfrage,Wasserkocher g)
26,$v3,26
27,$v1,1400
28,$v4,251.3
29,,
30,Formelfrage,Wasserkocher h)
31,,
32,Single Choice,Wasserkocher i)
33,bleibt gleich,0
34,wird größer,0
35,verringert sich,0
36,,
37,Single Choice,Wasserkocher j)
38,verringert sich,0
39,wird größer,0
40,bleibt gleich,0
41,,
