,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.6
9,$v4,5.6
10,$r1,501.76
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,54
15,$r1,1.944
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1700
19,$v2,34
20,$r1,50
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,40
24,$v1,600
25,$v4,374.5
26,$r1,0.431
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,1000
30,$v3,28
31,$v4,230
32,$r1,999.992
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,60
36,$v1,500
37,$v4,335.8
38,$r1,0.0046
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,114.7
42,$v2,0.82
43,$r1,86
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
