,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,4.8
10,$r1,316
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,32
15,$r1,0.683
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,26
20,$r1,30.77
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,56
24,$v1,700
25,$v4,128.7
26,$r1,56
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,600
30,$v3,30
31,$v4,587.2
32,$r1,1532.698
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,44
36,$v1,1500
37,$v4,197.6
38,$r1,0.0013
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,113.9
42,$v2,1.8
43,$r1,94
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
