,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.9
9,$v4,7
10,$r1,131.5789
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1300
14,$v2,46
15,$r1,1.63
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1200
19,$v2,30
20,$r1,40
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,57
24,$v1,900
25,$v4,301.1
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1000
29,$v3,26
30,$v4,381
31,$r1,470.1
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,42
35,$v1,1400
36,$v4,159.3
37,$r1,0.353
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,91.5
41,$v2,1.62
42,$r1,94.65
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
