,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.7
9,$v4,5.5
10,$r1,280.6
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1900
14,$v2,52
15,$r1,1.42
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,600
19,$v2,58
20,$r1,0.09
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,57
24,$v1,900
25,$v4,177
26,$r1,89
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,2000
30,$v3,36
31,$v4,469.3
32,$r1,2000
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,42
36,$v1,1500
37,$v4,563.6
38,$r1,15.5
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,111.7
42,$v2,1.27
43,$r1,91.2
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
