,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,3.5
10,$r1,73.52
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,58
15,$r1,2.24
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1300
19,$v2,44
20,$r1,29.54
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,31
24,$v1,800
25,$v4,153.1
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,1600
29,$v3,44
30,$v4,569.8
31,$r1,1601.6
32,,
33,Formelfrage,Wasserkocher g)
34,$v3,46
35,$v1,1000
36,$v4,141.1
37,,
38,Formelfrage,Wasserkocher h)
39,$v1,87.9
40,$v2,0.69
41,$r1,87.2
42,,
43,Single Choice,Wasserkocher i)
44,bleibt gleich,0
45,wird größer,0
46,verringert sich,1
47,,
48,Single Choice,Wasserkocher j)
49,verringert sich,1
50,wird größer,0
51,bleibt gleich,0
52,,
