,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.4
9,$v4,3.8
10,$r1,96.94
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,900
14,$v2,34
15,$r1,1.284
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,50
20,$r1,16
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,60
24,$v1,300
25,$v4,371.6
26,$r1,9.688
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,900
30,$v3,56
31,$v4,208.3
32,$r1,15055.21
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,58
36,$v1,1900
37,$v4,585.3
38,,
39,Formelfrage,Wasserkocher h)
40,$v1,116.7
41,$v2,1.08
42,$r1,89.19
43,,
44,Single Choice,Wasserkocher i)
45,bleibt gleich,0
46,wird größer,0
47,verringert sich,1
48,,
49,Single Choice,Wasserkocher j)
50,verringert sich,1
51,wird größer,0
52,bleibt gleich,0
53,,
