,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,0
3,,0
4,,0
5,,1
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.6
9,$v4,3.3
10,$r1,3e-07
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,50
15,$r1,49439392399023
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,32
20,$r1,34
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,38
24,$v1,500
25,$v4,248.5
26,$r1,54848
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,60
31,$v4,443.4
32,$r1,4322321
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,40
36,$v1,1900
37,$v4,260.6
38,$r1,322233
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,102.3
42,$v2,1.59
43,$r1,12331
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,1
47,wird größer,0
48,verringert sich,0
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,0
52,wird größer,0
53,bleibt gleich,1
54,,
