,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,4.2
10,$r1,103.6
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1500
14,$v2,58
15,$r1,2.25
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1500
19,$v2,34
20,$r1,44
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,31
24,$v1,800
25,$v4,246.2
26,$r1,0.5
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,700
30,$v3,40
31,$v4,429.8
32,$r1,8145.3
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,52
36,$v1,1000
37,$v4,196.1
38,$r1,0.14
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,122.9
42,$v2,1.08
43,$r1,89.78
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
