,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,1.7
9,$v4,5
10,$r1,105.04
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1000
14,$v2,56
15,$r1,3.136
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,1300
19,$v2,44
20,$r1,29.545
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,37
24,$v1,500
25,$v4,300.6
26,,
27,Formelfrage,Wasserkocher f)
28,$v1,900
29,$v3,58
30,$v4,194.6
31,,
32,Formelfrage,Wasserkocher g)
33,$v3,54
34,$v1,700
35,$v4,311.2
36,,
37,Formelfrage,Wasserkocher h)
38,$v1,84.5
39,$v2,0.62
40,$r1,98.63
41,,
42,Single Choice,Wasserkocher i)
43,bleibt gleich,0
44,wird größer,0
45,verringert sich,1
46,,
47,Single Choice,Wasserkocher j)
48,verringert sich,1
49,wird größer,0
50,bleibt gleich,0
51,,
